n_paragraphs,n_sections,FRE,title_len,art_len,0,1,2,3,4,5,6,7,8,9,2017,2018,2019,2020,2021,2022,top5,top10
12,1,61.87,29,1781,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
12,3,74.19,27,2238,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
21,6,71.24,53,3620,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
26,9,46.27,101,7759,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
53,3,60.85,40,10804,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
62,8,49.55,20,8771,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
16,1,79.09,51,3031,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
32,10,55.03,55,9585,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
22,1,45.8,115,7225,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
21,1,62.27,42,3905,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
40,6,44.14,33,9139,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
43,1,63.8,53,9992,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
15,1,61.67,25,2984,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
18,1,41.8,20,7767,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
27,1,62.27,24,4761,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
17,1,76.11,69,3173,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
66,10,50.36,13,13518,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
37,6,55.03,32,8385,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
21,1,49.15,24,4178,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
